,Model,Accuracy Score,F1 Score,Precision Score,Recall Score,AUC,Kappa Score
0,Decision Tree,0.8918955949852709,0.33641715727502103,0.6861063464837049,0.22284122562674094,71.27665027966121,0.29383853971354346
1,Random Forest,0.825375077070631,0.30977525047386945,0.3013698630136986,0.31866295264623956,70.57464036564622,0.20990739134970682
2,Logistic Regression,0.7511817496745906,0.35853055457435534,0.26247737264028964,0.5654596100278552,74.26723018121733,0.2290296421686142
3,Naive Bayes,0.43618551757210383,0.26609595148920995,0.1584032275188449,0.8311977715877438,67.45167777144849,0.07501922517989923
